age,city,email,gender,mixed breed,organization_id,pet_id,phone,photo1,photo2,photo3,postcode,primary breed,secondary breed,size,state,type,url
Senior,Lebanon,cosmozcause@gmail.com,Male,True,VA524,44286068,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44286068/2/?bust=1553216373,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44286068/1/?bust=1553216372,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44286068/3/?bust=1553216373,08833,Pug,Beagle,Small,NJ,Dog,https://www.petfinder.com/dog/kobe-44286068/nj/lebanon/cosmos-cause-va524/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Adult,Moreno Valley,info@bubbashugapugrescue.org,Female,False,CA2605,44286006,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44286006/1/?bust=1553212012,,,92556,Pug,,Medium,CA,Dog,https://www.petfinder.com/dog/daisy-44286006/ca/moreno-valley/bubbas-hug-a-pug-rescue-ca2605/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Adult,Monroe,kathyteller@aol.com,Male,True,OH129,44285981,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44285981/2/?bust=1553211325,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44285981/1/?bust=1553211298,,45050,Pug,,Medium,OH,Dog,https://www.petfinder.com/dog/sam-44285981/oh/monroe/the-progressive-animal-welfare-society-paws-oh129/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Senior,Greenfield,Adehoney@greenfieldin.org,Male,True,IN692,44284841,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44284841/1/?bust=1553191289,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44284841/2/?bust=1553191295,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44284841/3/?bust=1553191304,46140,Pug,Beagle,Small,IN,Dog,https://www.petfinder.com/dog/cooper-44284841/in/greenfield/greenfield-hancock-animal-management-in692/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Adult,COEUR D ALENE,idahocoondog@yahoo.com,Female,True,ID06,44284705,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44284705/1/?bust=1553189269,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44284705/2/?bust=1553189280,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44284705/3/?bust=1553189285,83814,Pug,Chihuahua,Small,ID,Dog,https://www.petfinder.com/dog/hazel-44284705/id/coeur-d-alene/second-chance-pet-rescue-id06/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Adult,Philippi,shelter-WV59@petfinder.com,Male,True,WV59,44284663,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44284663/1/?bust=1553188676,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44284663/2/?bust=1553188684,,26416,Pug,Chihuahua,Small,WV,Dog,https://www.petfinder.com/dog/weasel-44284663/wv/philippi/animal-friends-of-barbour-county-wv59/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Baby,Rowland Heights ,Nancy@ozzieandfriendsrescue.org,Female,True,CA2636,44284203,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44284203/2/?bust=1553180373,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44284203/1/?bust=1553180370,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44284203/3/?bust=1553180375,91748,Pug,Terrier,Small,CA,Dog,https://www.petfinder.com/dog/peanut-44284203/ca/rowland-heights/ozzie-and-friends-rescue-ca2636/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Adult,Augusta,,Male,False,GA219,44283409,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44283409/1/?bust=1553181416,,,30906,Pug,,Small,GA,Dog,https://www.petfinder.com/dog/frank-44283409/ga/augusta/augusta-animal-services-ga219/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Baby,Oshkosh,newpawsibilities@gmail.com,Female,True,WI419,44283365,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44283365/1/?bust=1553258859,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44283365/2/?bust=1553258895,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44283365/3/?bust=1553258908,54901,Pug,Terrier,Small,WI,Dog,https://www.petfinder.com/dog/peaches-44283365/wi/oshkosh/n-dot-ew-pawsibilities-wi419/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Baby,Las Vegas,NevadaSPCA@aol.com,Female,True,NV39,44283344,,,,,89118,Pug,Chihuahua,Small,NV,Dog,https://www.petfinder.com/dog/ebby-44283344/nv/las-vegas/nevada-society-for-the-prevention-of-cruelty-to-animals-nevada-spca-nv39/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Baby,Normal,info@petcentralhelps.org,Male,True,IL868,44283262,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44283262/1/?bust=1553181117,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44283262/2/?bust=1553181121,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44283262/3/?bust=1553181123,61761,Pug,Boxer,Small,IL,Dog,https://www.petfinder.com/dog/dublin-44283262/il/normal/pet-central-helps-il868/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Baby,Normal,info@petcentralhelps.org,Male,True,IL868,44283263,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44283263/1/?bust=1553181116,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44283263/2/?bust=1553181120,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44283263/3/?bust=1553181122,61761,Pug,Boxer,Small,IL,Dog,https://www.petfinder.com/dog/galway-44283263/il/normal/pet-central-helps-il868/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Young,Franklinton,pawsitivelypugsrescue@gmail.com,Female,True,NC1053,44265362,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44265362/1/?bust=1553018021,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44265362/3/?bust=1553018076,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44265362/4/?bust=1553018083,27525,Pug,Beagle,Medium,NC,Dog,https://www.petfinder.com/dog/skittles-44265362/nc/franklinton/pawsitively-pugs-rescue-nc1053/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Adult,Palo Alto,info@dpsrescue.com,Female,True,CA1437,44282773,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44282773/1/?bust=1553223404,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44282773/2/?bust=1553223406,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44282773/3/?bust=1553223407,94306,Pug,Chihuahua,Small,CA,Dog,https://www.petfinder.com/dog/pie-44282773/ca/palo-alto/doggie-protective-services-ca1437/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Senior,Gardena,gwenn@pugnationla.org,Male,False,CA2386,44282576,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44282576/1/?bust=1553287060,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44282576/2/?bust=1553287065,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44282576/3/?bust=1553287097,90248,Pug,,Small,CA,Dog,https://www.petfinder.com/dog/homer-44282576/ca/gardena/pug-nation-rescue-of-la-ca2386/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Young,Alvin,info@pughearts.com,Male,False,TX1084,44282053,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44282053/2/?bust=1553255952,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44282053/1/?bust=1553172970,,77512,Pug,,Small,TX,Dog,https://www.petfinder.com/dog/gino-44282053/tx/alvin/pughearts-the-houston-pug-rescue-tx1084/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Senior,Chino Hills,priceless.pets@yahoo.com,Male,True,CA1886,44282135,,,,,91709,Pug,,Small,CA,Dog,https://www.petfinder.com/dog/noah-claremont-44282135/ca/chino-hills/priceless-pet-rescue-ca1886/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Young,Alvin,info@pughearts.com,Female,False,TX1084,44281974,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44281974/2/?bust=1553256237,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44281974/1/?bust=1553172688,,77512,Pug,,Small,TX,Dog,https://www.petfinder.com/dog/gigi-2-44281974/tx/alvin/pughearts-the-houston-pug-rescue-tx1084/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Adult,Alvin,info@pughearts.com,Male,False,TX1084,44281692,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44281692/4/?bust=1553172461,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44281692/1/?bust=1553172455,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44281692/2/?bust=1553172458,77512,Pug,,Small,TX,Dog,https://www.petfinder.com/dog/franklin-44281692/tx/alvin/pughearts-the-houston-pug-rescue-tx1084/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Adult,Moses Lake,GCAOadoptions@outlook.com,Male,True,WA370,44280815,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44280815/1/?bust=1553231216,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44280815/2/?bust=1553231232,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44280815/3/?bust=1553231247,98837,Pug,Mixed Breed,Small,WA,Dog,https://www.petfinder.com/dog/esau-44280815/wa/moses-lake/grant-county-animal-outreach-wa370/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Adult,Moses Lake,GCAOadoptions@outlook.com,Female,True,WA370,44280816,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44280816/1/?bust=1553231223,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44280816/2/?bust=1553231238,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44280816/3/?bust=1553231251,98837,Pug,Mixed Breed,Small,WA,Dog,https://www.petfinder.com/dog/leah-44280816/wa/moses-lake/grant-county-animal-outreach-wa370/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Young,Vallejo,info@hsnb.org,Male,True,CA92,44280402,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44280402/1/?bust=1553152891,,,94590,Pug,,Medium,CA,Dog,https://www.petfinder.com/dog/smeagol-44280402/ca/vallejo/humane-society-of-the-north-bay-ca92/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Young,Vallejo,info@hsnb.org,Male,True,CA92,44280403,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44280403/1/?bust=1553152888,,,94590,Pug,,Medium,CA,Dog,https://www.petfinder.com/dog/dobbie-44280403/ca/vallejo/humane-society-of-the-north-bay-ca92/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Adult,Littleton,adopt@sloppykisses.org,Female,True,CO490,44280379,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44280379/1/?bust=1553291231,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44280379/2/?bust=1553258063,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44280379/3/?bust=1553258091,80130,Pug,Australian Cattle Dog / Blue Heeler,Medium,CO,Dog,https://www.petfinder.com/dog/mischa-44280379/co/littleton/sloppy-kisses-animal-rescue-co490/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Adult,Hillside,magmuttsrescue@aol.com,Male,True,IL274,44280250,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44280250/1/?bust=1553154478,,,60162,Pug,Beagle,Small,IL,Dog,https://www.petfinder.com/dog/riley-44280250/il/hillside/magnificent-mutts-rescue-il274/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Adult,Nogales,jpena@co.santa-cruz.az.us,Female,False,AZ418,44280239,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44280239/1/?bust=1553227131,,,85621,Pug,,Small,AZ,Dog,https://www.petfinder.com/dog/teriyaki-bella-44280239/az/nogales/santa-cruz-county-animal-care-and-control-services-az418/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Adult,Nogales,jpena@co.santa-cruz.az.us,Male,False,AZ418,44280238,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44280238/1/?bust=1553277236,,,85621,Pug,,Small,AZ,Dog,https://www.petfinder.com/dog/simba-44280238/az/nogales/santa-cruz-county-animal-care-and-control-services-az418/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Young,Waverly,adopt@strayhavenspca.com,Male,True,NY59,44279497,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44279497/1/?bust=1553280548,,,14892,Pug,Beagle,Medium,NY,Dog,https://www.petfinder.com/dog/bruce-44279497/ny/waverly/stray-haven-humane-society-and-s-dot-pc-dot-a-inc-ny59/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Adult,Downey,,Male,False,CA990,44279011,,,,,90241,Pug,,Medium,CA,Dog,https://www.petfinder.com/dog/19-16346-44279011/ca/downey/seaaca-southeast-area-animal-control-authority-ca990/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Baby,San Bernardino,cause4sbpaws@gmail.com,Male,True,CA2330,44278912,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44278912/1/?bust=1553150522,,,92407,Pug,Terrier,Medium,CA,Dog,https://www.petfinder.com/dog/elliot-44278912/ca/san-bernardino/cause-for-san-bernardino-paws-ca2330/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Adult,Owensboro,dcacanimals@yahoo.com,Male,True,KY167,44277220,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44277220/1/?bust=1553150924,,,42301,Pug,Mixed Breed,Small,KY,Dog,https://www.petfinder.com/dog/chuggs-hw-44277220/ky/owensboro/daviess-county-animal-control-ky167/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Adult,Overland Park,luvforpugs@aol.com,Female,False,KS65,44277074,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44277074/1/?bust=1553136653,,,66213,Pug,,Small,KS,Dog,https://www.petfinder.com/dog/miley-44277074/ks/overland-park/midwest-pug-rescue-ks65/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Young,Overland Park,luvforpugs@aol.com,Male,False,KS65,44277070,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44277070/1/?bust=1553136540,,,66213,Pug,,Small,KS,Dog,https://www.petfinder.com/dog/griff-44277070/ks/overland-park/midwest-pug-rescue-ks65/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Young,Overland Park,luvforpugs@aol.com,Male,False,KS65,44277061,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44277061/1/?bust=1553138126,,,66213,Pug,,Small,KS,Dog,https://www.petfinder.com/dog/leo-44277061/ks/overland-park/midwest-pug-rescue-ks65/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Young,Overland Park,luvforpugs@aol.com,Male,False,KS65,44277057,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44277057/1/?bust=1553136243,,,66213,Pug,,Small,KS,Dog,https://www.petfinder.com/dog/beau-44277057/ks/overland-park/midwest-pug-rescue-ks65/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Young,Overland Park,luvforpugs@aol.com,Male,False,KS65,44277041,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44277041/1/?bust=1553136015,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44277041/2/?bust=1553136079,,66213,Pug,,Small,KS,Dog,https://www.petfinder.com/dog/donnie-44277041/ks/overland-park/midwest-pug-rescue-ks65/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Adult,Brockton,info@apcsm.org,Male,True,MA409,44275390,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44275390/1/?bust=1553105098,,,02301,Pug,Chihuahua,Medium,MA,Dog,https://www.petfinder.com/dog/mickey-44275390/ma/brockton/animal-protection-center-of-southeastern-ma-ma409/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
Adult,Norman,general@secondchancenorman.com,Female,True,OK149,44275125,,,,,73070,Pug,Mixed Breed,Small,OK,Dog,https://www.petfinder.com/dog/sandy-44275125/ok/norman/second-chance-animal-sanctuary-ok149/?referrer_id=ef895500-ba67-4baa-b148-82876a211ebb
